Item ID,Brand,CATEGORY
01ANE01,ANDREW AND EVERETT,CHEESE
01ANE02,ANDREW AND EVERETT,CHEESE
01ANE03,ANDREW AND EVERETT,CHEESE
01ANE04,ANDREW AND EVERETT,CHEESE
01ANE05,ANDREW AND EVERETT,CHEESE
01ANE06,ANDREW AND EVERETT,CHEESE
01ANE07,ANDREW AND EVERETT,DAIRY
01ANE08,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE09,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE10,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE11,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE12,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE21,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE22,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE23,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE24,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE25,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE31,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE32,ANDREW AND EVERETT,NUT
01ANE33,ANDREW AND EVERETT,CHOCOLATE/CANDY
01ANE34,ANDREW AND EVERETT,NONFOOD
01APP01,RED APPLE CHEESE,NONFOOD
01APP101,RED APPLE CHEESE,NONFOOD
01APP102,RED APPLE CHEESE,NONFOOD
01APP103,RED APPLE CHEESE,NONFOOD
01APP104,RED APPLE CHEESE,NONFOOD
01APP105,RED APPLE CHEESE,NONFOOD
01APP106,RED APPLE CHEESE,NONFOOD
01APP121,RED APPLE CHEESE,NONFOOD
01BEL01,BELGIOIOSO,NONFOOD
01BEL01-1,BELGIOIOSO,NONFOOD
01BEL02,BELGIOIOSO,NONFOOD
01BEL02-1,BELGIOIOSO,NONFOOD
01BEL03,BELGIOIOSO,NONFOOD
01BEL03-1,BELGIOIOSO,NONFOOD
01BEL04,BELGIOIOSO,NONFOOD
01BEL04-1,BELGIOIOSO,NONFOOD
01BEL06,BELGIOIOSO,EGG
01BEL07,BELGIOIOSO,EGG
01BEL11,BELGIOIOSO,EGG
01BEL12,BELGIOIOSO,ETHNIC
01BEL14,BELGIOIOSO,ETHNIC
01BEL16,BELGIOIOSO,ETHNIC
01BEL17,BELGIOIOSO,ETHNIC
01BEL18,BELGIOIOSO,ETHNIC
01BEL21,BELGIOIOSO,ETHNIC
01BEL21-1,BELGIOIOSO,ETHNIC
01BEL21-2,BELGIOIOSO,ETHNIC
01BEL22,BELGIOIOSO,ETHNIC
01BEL23,BELGIOIOSO,ETHNIC
01BEL24,BELGIOIOSO,ETHNIC
01BEL25,BELGIOIOSO,ETHNIC
01BEL26,BELGIOIOSO,ETHNIC
